#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
更	고칠 경 / 다시 갱(한번(一) 말(日)해 새겨(㐅) 태도를 고침)	こう 変更（へんこう）ー변경 名義変更（めいぎへんこう）ー명의변경 更新（こうしん）ー갱신 記録更新（きろくこうしん）ー기록 갱신 更生（こうせい）ー갱생 更年期（こうねんき）ー갱년기 更年期症状（こうねんきしょうじょう）ー갱년기 증상   さら 更に（さらに）ー더욱 더 今更（いまさら）ー이제 와서 尚更（なおさら）ー그 위에, 더욱 殊更（ことさら）ー일부러	更ける（ふける）ー(밤,계절) 깊어지다, 한창이다 夜が更ける（よるがふける）ー밤이 깊어지다 夜更け（よふけ）ー밤이 깊어짐 更かす（ふかす）ー밤 늦도록 안 자다 読書で夜を更かす（どくしょでよをふかす）ー독서로 밤을 새우다 夜更かし（よふかし）ー밤을 샘	고칠 경(다시 갱)(更) / 편할 편(똥오줌 변)(便) / 줄기 경(梗) / 단단할 경(硬)
便	편할 편 / 똥오줌 변(사람(亻)이 물건을 고쳐(更) 편하게 사용) (고칠 경 / 다시 갱(更) : 한번(一) 말(日)해 새겨(㐅) 태도를 고침)	べん 便利（べんり）ー편리 不便（ふべん）ー불편 小便（しょうべん）ー소변 大便（だいべん）ー대변, 똥 大小便（だいしょうべん）ー대소변 用便（ようべん）ー용변 便秘（べんぴ）ー변비 便器（べんき）ー변기 便所（べんじょ）ー변소 便宜（べんぎ）ー편의 簡便（かんべん）ー간편 びん 郵便（ゆうびん）ー우편 書留郵便（かきとめゆうびん）ー등기 우편 郵便番号（ゆうびんばんごう）ー우편번호 郵便切手（ゆうべんきって）ー우표 船便（ふなびん）ー배편 宅配便（たくはいびん）ー택배편	便り（たより）ー소식, 편지 初便り（はつたより）ー첫 소식	고칠 경(다시 갱)(更) / 편할 편(똥오줌 변)(便) / 줄기 경(梗) / 단단할 경(硬)
梗	줄기 경(나무(木)가 다시 고쳐(更)잘 자라도록 하는 줄기)  (고칠 경 / 다시 갱(更) : 한번(一) 말(日)해 새겨(㐅) 태도를 고침)	こう 梗塞（こうそく）ー경색 脳梗塞（のうこうそく）ー뇌경색 脳梗塞状態に陥る（のうこうそくじょうたいにおちいる）ー뇌경색 상태에 빠지다 心筋梗塞（しんきんこうそく）ー심근경색		고칠 경(다시 갱)(更) / 편할 편(똥오줌 변)(便) / 줄기 경(梗) / 단단할 경(硬)
硬	단단할 경(돌(石)은 다시(更)봐도 단단함) (고칠 경 / 다시 갱(更) : 한번(一) 말(日)해 새겨(㐅) 태도를 고침)	こう 強硬（きょうこう）ー강경 強硬な態度を取る（きょうこうなたいどをとる）ー강경한 태도를 취하다 硬質（こうしつ）ー경질 硬度（こうど）ー강도 (경도) 硬貨（こうか）ー동전 (경화) 動脈硬化（どうみゃくこうか）ー동맥경화 硬直（こうちょく）ー경직	硬い（かたい）ー딱딱하다 硬い地面に穴を掘る（かたいじめんにあなをほる）ー단단한 지면에 구멍을 뚫다	고칠 경(다시 갱)(更) / 편할 편(똥오줌 변)(便) / 줄기 경(梗) / 단단할 경(硬)
巧	공교할 교(장인(工)의 천둥(丂)소리를 내며 만든 공교한 작품)	こう 精巧（せいこう）ー정교 精巧な機械（せいこうなきかい）ー정교한 기계 巧妙（こうみょう）ー교묘 技巧（ぎこう）ー기교 技巧を弄す（ぎこうをろうす）ー기교를 부리다	たくみ巧（たくみ）ー교묘함, 능숙함 巧みな嘘をつく（たくみなうそをつく）ー교묘한 거짓말을 하다	부를(번호) 호(号) / 공교할 교(巧) / 썩을 후(朽) / 끝 극(極)
号	부를/번호 호(입(口)으로 천둥(丂)처럼 부름)	ごう 番号（ばんごう）ー번호 番号順（ばんごうじゅん）ー번호순 郵便番号（ゆうびんばんごう）ー우편 번호 信号（しんごう）ー신호 赤信号（あかしんごう）ー적신호 手信号（てしんごう）ー수신호 危険信号（きけんしんごう）ー위험신호 記号（きごう）ー기호 元素記号（げんそきごう）ー원소기호 符号（ふごう）ー부호 暗号（あんごう）ー암호 暗号化（あんごうか）ー암호화 暗号鍵を定期的に変更する（あんごうかぎをていきてきにへんこうする）ー암호키를 정기적으로 변경하다		부를(번호) 호(号) / 공교할 교(巧) / 썩을 후(朽) / 끝 극(極)
朽	썩을 후(나무(木)가 천둥(丂)을 맞고 썩어버림)	きゅう  老朽（ろうきゅう）ー노후  老朽化（ろうきゅうか）ー노후화 老朽化した施設は解体せざるを得ない（ろうきゅうかしたしせつはかいたいせざるをえない）ー노후한 시설은 해체할 수밖에 없다 不朽（ふきゅう）ー불후	朽ちる（くちる）ー썩다 (입 구취루(くちる) 썩을거같다) 柱が朽ちる（はしらがくちる）ー기둥이 삭다	부를(번호) 호(号) / 공교할 교(巧) / 썩을 후(朽) / 끝 극(極)
極	끝/다할 극(번개(丂)가 땅(一)에 내려쳐 나무(木)가 입(口)과 손(又)으로 나눠져 끝을 다함)	きょく 極限（きょくげん）ー극한 極限状況での人間の心理（きょくげんじょうきょうでのにんげんのしんり）ー극한 상황에서의 인간 심리 極端（きょくたん）ー극단 極致（きょくち）ー극치 消極的（しょうきょくてき）ー소극적 積極的（せっきょくてき）ー적극적 北極（ほっきょく）ー북극 南極（なんきょく）ー남극 極右（きょくう）ー극우 ごく 極秘（ごくひ）ー극비 極上（ごくじょう）ー극상, 최상 至極（しごく）ー지극, 더할나위 없음	極める（きわめる）  ー극하다, 한도에 이르다 残酷を極める（ざんこくをきわめる）ー잔혹하기 이를데 없다 極めて（きわめて）  ー극히 極まる（きわまる）ー극히에 달하다 夏の暑さが極まる（なつのあつさがきわまる）ー여름 더위가 극에 달하다 極み（きわみ）ー극한, 끝	부를(번호) 호(号) / 공교할 교(巧) / 썩을 후(朽) / 끝 극(極)
能	능할 능(내(厶) 몸(月)은 비수(匕)(匕)를 막을정도로 능함)	のう 能力（のうりょく）ー능력 責任能力（せきにんのうりょく）ー책임능력 才能（さいのう）ー재능 能率（のうりつ）ー능률 可能（かのう）ー가능 不可能（ふかのう）ー불가능 芸能（げいのう）ー예능 機能（きのう）ー기능 能動（のうどう）ー능동 能動的（のうどうてき）ー능동적 性能（せいのう）ー성능 有能（ゆうのう）ー유능 知能（ちのう）ー지능 技能（ぎのう）ー기능 万能（ばんのう）ー만능 本能（ほんのう）ー본능 無能（むのう）ー무능 放射能（ほうしゃのう）ー방사능 効能（こうのう）ー효능 全知全能（ぜんちぜんのう）ー전지전능		능할 능(能) / 태도 태(態) / 곰 웅(熊) / 끝날 파(罷)
態	태도 태(능(能)하지만 마음(心)은 겸손한 태도를 유지)	たい 態度（たいど）ー태도 状態（じょうたい）ー상태 形態（けいたい）ー형태 動態（どうたい）ー동태 人口動態（じんこうどうたい）ー인구 동태 受動態（じゅどうたい）ー수동태 能動態（のうどうたい）ー능동태 事態（じたい）ー사태 非常事態（ひじょうじたい）ー비상사태 緊急事態（きんきゅうじたい）ー긴급사태 態勢（たいせい）ー태세 変態（へんたい）ー변태 変態性欲（へんたいせいよく）ー변태성욕 生態（せいたい）ー생태 生態系（せいたいけい）ー생태계 痴態（ちたい）ー추태 (치태) 醜態（しゅうたい）ー추태 醜態を演ずる（しゅうたいをえんずる）ー추태를 부리다  実態（じったい）ー실태 実態調査（じったいちょうさ）ー실태조사		능할 능(能) / 태도 태(態) / 곰 웅(熊) / 끝날 파(罷)
熊	곰 웅(불(灬)에 잘 견디는(能)동물은 곰)		くま 熊（くま）ー곰 熊が人を襲う（くまがひとをおそう）ー곰이 사람을 습격하다  黒熊（くろくま）ー흑곰 白熊（しろくま）ー백곰 熊手（くまで）ー갈퀴	능할 능(能) / 태도 태(態) / 곰 웅(熊) / 끝날 파(罷)
罷	끝날 파(아무리 능(能)한 동물도 그물(罒)에 잡히면 끝남)	ひ 罷免（ひめん）ー파면 無能のために罷免される（むのうのためにひめんされる）ー무능해서 파면되다  罷免権（ひめんけん）ー파면권 罷業（ひぎょう）ー파업 罷業指令（ひぎょうしれい）ー파업지령		능할 능(能) / 태도 태(態) / 곰 웅(熊) / 끝날 파(罷)
笑	웃을 소(예쁜(夭)여자가 대나무(𥫗)가 부딪히듯 웃음)	しょう 微笑（びしょう）ー미소 談笑（だんしょう）ー담소 冷笑（れいしょう）ー냉소 冷笑を買う（れいしょうをかう）ー냉소를 받다 苦笑（くしょう）ー쓴웃음 爆笑（ばくしょう）ー폭소 嘲笑（ちょうしょう）ー비웃음 (조소)	笑う（わらう）ー웃다 意味有りげに笑う（いみありげにわらう）ー의미 있는듯이 웃다 大笑い（おおわらい）ー큰웃음 笑む（えむ）ー미소짓다 微笑み（ほほえみ）ー미소 笑顔（えがお）ー웃는 얼굴	웃을 소(笑) / 보낼 송(送) / 꽃 필 소(咲) / 나 짐(朕)
沃	비옥할 옥(예쁜(夭) 물(氵)은 비옥함)	よく 沃地（よくち）ー옥토 肥沃（ひよく）ー비옥 肥沃な土地（ひよくなとち）ー비옥한 토지		비옥할 옥(沃) / 요염할 요(妖)
添	더할 첨(더럽힌(忝)곳에  물(氵)을 더함) (더럽힐 첨(忝) : 이쁜(夭)사람을 더럽다고 욕하고 다니는 나쁜 마음(㣺))	てん 添付（てんぷ）ー첨부 添付書類（てんぷしょるい）ー첨부서류 添加（てんか）ー첨가 添加物（てんかぶつ）ー첨가물 食品添加物（しょくひんてんかぶつ）ー식품 첨가물 別添（べってん）ー별첨 別添様式（べってんようしき）ー별첨 양식 添削（てんさく）ー첨삭 作文を添削して返す（さくぶんをてんさくしてかえす）ー작문을 첨삭하여 돌려주다	添える（そえる）ー첨부하다, 더하다 新鮮な旬の野菜を添える（しんせんなしゅんのやさいをそえる）ー신선한 제철 채소를 곁들이다 添う（そう）ー붙어 다니다, 부부가 되다 気に添う（きにそう）ー마음에 꼭 들다 付き添う（つきそう）ー시중들다, 수발들다	더럽힐 첨(忝) / 더할 첨(添)
妖	요염할 요(이쁜(夭) 여자(女)는 요염함)	よう 妖怪（ようかい）ー요괴 妖精（ようせい）ー요정 森の妖精（もりのようせい）ー숲의 요정 妖艶（ようえん）ー요염 妖艶な姿態（ようえんなしたい）ー요염한 자태 妖術（ようじゅつ）ー요술 妖術使う（ようじゅつつかう）ー요술을 부리다	妖しい（あやしい）ー신비스럽다, 매혹적이다 妖しく光る刀 （あやしくひかるかたな）ー신비하게 반짝이는 칼	비옥할 옥(沃) / 요염할 요(妖)
示	보일 시(제단의 모습)	じ 指示（しじ）ー지시 計画の全面中止を指示する（けいかくのぜんめんちゅうしをしじする）ー계획의 전면적인 중지를 지시하다  展示（てんじ）ー전시 展示効果（てんじこうか）ー전시효과 啓示（けいじ）ー계시 天の啓示（てんのけいじ）ー하늘의 계시 掲示（けいじ）ー게시 掲示板（けいじばん）ー게시판 提示（ていじ）ー제시 根拠となる資料を提示する（こんきょとなるしりょうをていじする）ー근거가 된 자료를 제시하다  明治（めいじ）ー명시 例示（れいじ）ー예시 予示（よじ）ー예시 暗示（あんじ）ー암시 自己暗示（じこあんじ）ー자기 암시 表示（ひょうじ）ー표시 標示（ひょうじ）ー표시 告示（こくじ）ー고시 誇示（こじ）ー과시 し 示唆（しさ）ー시사	示す（しめす）ー보이다, 가리키다 模範を示す（もはんをしめす）ー모범을 보이다 彼の発言に過剰反応を示す（かれのはつげんにかじょうはんのうをしめす）ー그의 발언에 과잉반응을 보이다	보일 시(示) / 나락 나(奈)
宗	종교 종(집(宀)에 하나씩 보이는(示) 종교)	しゅう 宗教（しゅうきょう）ー종교 宗教から慰めを得る（しゅうきょうからなぐさめをえる）ー종교에서 위안을 얻다 宗教戦争（しゅうきょうせんそう）ー종교 전쟁 宗教改革（しゅうきょうかいかく）ー종교 개혁 新興宗教（しんこうしゅうきょう）ー신흥 종교 改宗（かいしゅう）ー개종	そう 宗家（そうけ）ー종가, 큰집, 본가	종교 종(宗) / 높을 숭(崇) / 발자취 종(踪)
崇	높을 숭(종교(宗)는 산(山)처럼 높음)   (종교 종(宗) : 집(宀)에 하나씩 보이는(示) 종교)	すう 崇拝（すうはい）ー숭배 英雄崇拝（えいゆうすうはい）ー영웅 숭배 偶像崇拝（ぐうぞうすうはい）ー우상 숭배 崇高（すうこう）ー숭고 崇高な行い（すうこうなおこない）ー숭고한 행위		종교 종(宗) / 높을 숭(崇) / 발자취 종(踪)
奈	나락 나(크게(大) 잘 보이는(示) 나락이나 큰도시)	な  奈落（ならく）ー나락, 지옥 絶望の奈落に落ちる（ぜつぼうのならくにおちる）ー절망의 나락에 떨어지다  奈落の底（ならくのそこ）ー지옥의 밑바닥 奈良県（ならけん）ー나라현		보일 시(示) / 나락 나(奈)
誇	자랑할 과(하나의(一) 천둥(丂)같이 큰(大)소리로 말(言)하며 자랑함)	こ (코(こ)를 자랑함) 誇張（こちょう）ー과장 実際より誇張する（じっさいよりこちょうする）ー실제보다 과장하다  誇張表現（こちょうひょうげん）ー과장 표현 誇大（こだい）ー과대 誇大広告（こだいこうこく）ー과대 광고 誇大妄想（こだいもうそう）ー과대 망상 誇示（こじ）ー과시	誇る（ほこる）ー자랑하다, 뽐내다  誇るに足りない業績（ほこるにたりないぎょうせき）ー자랑할 만한것이 못되는 업적 誇り（ほこり）ー자랑 誇らしい（ほこらしい）ー자랑스럽다	
